variant,block_label,repetition,block,stage,seconds
sync,fp16,1,0,read,0.449967700
sync,fp16,1,1,read,0.603729100
sync,fp16,1,2,read,0.237175100
sync,fp16,1,3,read,0.577905100
sync,fp16,1,0,stage_copy,0.023211700
sync,fp16,1,1,stage_copy,0.020541800
sync,fp16,1,2,stage_copy,0.020553500
sync,fp16,1,3,stage_copy,0.021757700
sync,fp16,1,0,h2d,0.014995968
sync,fp16,1,1,h2d,0.014901184
sync,fp16,1,2,h2d,0.014925920
sync,fp16,1,3,h2d,0.014988832
sync,fp16,1,0,compute,0.101489281
sync,fp16,1,1,compute,0.013894176
sync,fp16,1,2,compute,0.013258016
sync,fp16,1,3,compute,0.012810784
sync,fp16,1,0,read,0.475554700
sync,fp16,1,1,read,0.596998000
sync,fp16,1,2,read,0.273649200
sync,fp16,1,3,read,0.597573900
sync,fp16,1,4,read,0.174705700
sync,fp16,1,5,read,0.592324400
sync,fp16,1,0,stage_copy,0.024641700
sync,fp16,1,1,stage_copy,0.021992800
sync,fp16,1,2,stage_copy,0.021294800
sync,fp16,1,3,stage_copy,0.022049300
sync,fp16,1,4,stage_copy,0.022172200
sync,fp16,1,5,stage_copy,0.022013000
sync,fp16,1,0,h2d,0.015114336
sync,fp16,1,1,h2d,0.015135776
sync,fp16,1,2,h2d,0.014972160
sync,fp16,1,3,h2d,0.014951808
sync,fp16,1,4,h2d,0.014939552
sync,fp16,1,5,h2d,0.015066016
sync,fp16,1,0,compute,0.101788254
sync,fp16,1,1,compute,0.014120320
sync,fp16,1,2,compute,0.013265248
sync,fp16,1,3,compute,0.013764192
sync,fp16,1,4,compute,0.013309696
sync,fp16,1,5,compute,0.014484992
double_buffer,fp16,1,0,read,0.459375400
double_buffer,fp16,1,1,read,0.591334800
double_buffer,fp16,1,2,read,0.270136800
double_buffer,fp16,1,3,read,0.580358100
double_buffer,fp16,1,4,read,0.173951700
double_buffer,fp16,1,5,read,0.583764500
double_buffer,fp16,1,0,stage_copy,0.020877300
double_buffer,fp16,1,1,stage_copy,0.021320500
double_buffer,fp16,1,2,stage_copy,0.020570200
double_buffer,fp16,1,3,stage_copy,0.022349000
double_buffer,fp16,1,4,stage_copy,0.023794500
double_buffer,fp16,1,5,stage_copy,0.021798100
double_buffer,fp16,1,0,h2d,0.015362816
double_buffer,fp16,1,1,h2d,0.015182880
double_buffer,fp16,1,2,h2d,0.015266080
double_buffer,fp16,1,3,h2d,0.015554016
double_buffer,fp16,1,4,h2d,0.015266624
double_buffer,fp16,1,5,h2d,0.014924544
double_buffer,fp16,1,0,compute,0.015100928
double_buffer,fp16,1,1,compute,0.016379904
double_buffer,fp16,1,2,compute,0.017429504
double_buffer,fp16,1,3,compute,0.015273984
double_buffer,fp16,1,4,compute,0.015249408
double_buffer,fp16,1,5,compute,0.013405184
three_stage,fp16,1,0,read,0.453274900
three_stage,fp16,1,1,read,0.598382300
three_stage,fp16,1,2,read,0.263332100
three_stage,fp16,1,3,read,0.584558800
three_stage,fp16,1,4,read,0.163794800
three_stage,fp16,1,5,read,0.587939600
three_stage,fp16,1,0,stage_copy,0.022766300
three_stage,fp16,1,1,stage_copy,0.023425000
three_stage,fp16,1,2,stage_copy,0.022791900
three_stage,fp16,1,3,stage_copy,0.022005800
three_stage,fp16,1,4,stage_copy,0.023267200
three_stage,fp16,1,5,stage_copy,0.021042900
three_stage,fp16,1,0,h2d,0.017280289
three_stage,fp16,1,1,h2d,0.017486015
three_stage,fp16,1,2,h2d,0.017416191
three_stage,fp16,1,3,h2d,0.017587296
three_stage,fp16,1,4,h2d,0.017486080
three_stage,fp16,1,5,h2d,0.017460032
three_stage,fp16,1,0,compute,0.028845057
three_stage,fp16,1,1,compute,0.029122561
three_stage,fp16,1,2,compute,0.029997055
three_stage,fp16,1,3,compute,0.028747776
three_stage,fp16,1,4,compute,0.031804417
three_stage,fp16,1,5,compute,0.028849152
sync,fp16;blocks=36;matmul=4096,1,0,read,0.445625200
sync,fp16;blocks=36;matmul=4096,1,1,read,0.589244800
sync,fp16;blocks=36;matmul=4096,1,2,read,0.261570200
sync,fp16;blocks=36;matmul=4096,1,3,read,0.577623200
sync,fp16;blocks=36;matmul=4096,1,4,read,0.150963400
sync,fp16;blocks=36;matmul=4096,1,5,read,0.609011400
sync,fp16;blocks=36;matmul=4096,1,6,read,0.262101400
sync,fp16;blocks=36;matmul=4096,1,7,read,0.576173200
sync,fp16;blocks=36;matmul=4096,1,8,read,0.163025200
sync,fp16;blocks=36;matmul=4096,1,9,read,0.614497100
sync,fp16;blocks=36;matmul=4096,1,10,read,0.261499200
sync,fp16;blocks=36;matmul=4096,1,11,read,0.575665600
sync,fp16;blocks=36;matmul=4096,1,12,read,0.272679200
sync,fp16;blocks=36;matmul=4096,1,13,read,0.615070100
sync,fp16;blocks=36;matmul=4096,1,14,read,0.255002600
sync,fp16;blocks=36;matmul=4096,1,15,read,0.572003000
sync,fp16;blocks=36;matmul=4096,1,16,read,0.509741100
sync,fp16;blocks=36;matmul=4096,1,17,read,0.616159600
sync,fp16;blocks=36;matmul=4096,1,18,read,0.264272200
sync,fp16;blocks=36;matmul=4096,1,19,read,0.563113000
sync,fp16;blocks=36;matmul=4096,1,20,read,0.152210700
sync,fp16;blocks=36;matmul=4096,1,21,read,0.607033600
sync,fp16;blocks=36;matmul=4096,1,22,read,0.260203300
sync,fp16;blocks=36;matmul=4096,1,23,read,0.567183600
sync,fp16;blocks=36;matmul=4096,1,24,read,0.170522100
sync,fp16;blocks=36;matmul=4096,1,25,read,0.606515600
sync,fp16;blocks=36;matmul=4096,1,26,read,0.259807500
sync,fp16;blocks=36;matmul=4096,1,27,read,0.582937500
sync,fp16;blocks=36;matmul=4096,1,28,read,0.523874200
sync,fp16;blocks=36;matmul=4096,1,29,read,0.418240600
sync,fp16;blocks=36;matmul=4096,1,30,read,0.502018400
sync,fp16;blocks=36;matmul=4096,1,31,read,0.593876000
sync,fp16;blocks=36;matmul=4096,1,32,read,0.422500100
sync,fp16;blocks=36;matmul=4096,1,33,read,0.505988500
sync,fp16;blocks=36;matmul=4096,1,34,read,0.470395800
sync,fp16;blocks=36;matmul=4096,1,35,read,0.359835000
sync,fp16;blocks=36;matmul=4096,1,0,stage_copy,0.026192900
sync,fp16;blocks=36;matmul=4096,1,1,stage_copy,0.025617500
sync,fp16;blocks=36;matmul=4096,1,2,stage_copy,0.023257500
sync,fp16;blocks=36;matmul=4096,1,3,stage_copy,0.026232300
sync,fp16;blocks=36;matmul=4096,1,4,stage_copy,0.023899900
sync,fp16;blocks=36;matmul=4096,1,5,stage_copy,0.022317300
sync,fp16;blocks=36;matmul=4096,1,6,stage_copy,0.022613800
sync,fp16;blocks=36;matmul=4096,1,7,stage_copy,0.021602900
sync,fp16;blocks=36;matmul=4096,1,8,stage_copy,0.023061200
sync,fp16;blocks=36;matmul=4096,1,9,stage_copy,0.022482800
sync,fp16;blocks=36;matmul=4096,1,10,stage_copy,0.024939500
sync,fp16;blocks=36;matmul=4096,1,11,stage_copy,0.020963100
sync,fp16;blocks=36;matmul=4096,1,12,stage_copy,0.021118100
sync,fp16;blocks=36;matmul=4096,1,13,stage_copy,0.020755600
sync,fp16;blocks=36;matmul=4096,1,14,stage_copy,0.020636000
sync,fp16;blocks=36;matmul=4096,1,15,stage_copy,0.020950300
sync,fp16;blocks=36;matmul=4096,1,16,stage_copy,0.021091700
sync,fp16;blocks=36;matmul=4096,1,17,stage_copy,0.021207300
sync,fp16;blocks=36;matmul=4096,1,18,stage_copy,0.021079300
sync,fp16;blocks=36;matmul=4096,1,19,stage_copy,0.020967200
sync,fp16;blocks=36;matmul=4096,1,20,stage_copy,0.021157900
sync,fp16;blocks=36;matmul=4096,1,21,stage_copy,0.021191700
sync,fp16;blocks=36;matmul=4096,1,22,stage_copy,0.022017700
sync,fp16;blocks=36;matmul=4096,1,23,stage_copy,0.020947800
sync,fp16;blocks=36;matmul=4096,1,24,stage_copy,0.021359100
sync,fp16;blocks=36;matmul=4096,1,25,stage_copy,0.024328200
sync,fp16;blocks=36;matmul=4096,1,26,stage_copy,0.020928400
sync,fp16;blocks=36;matmul=4096,1,27,stage_copy,0.020589600
sync,fp16;blocks=36;matmul=4096,1,28,stage_copy,0.020911400
sync,fp16;blocks=36;matmul=4096,1,29,stage_copy,0.021468800
sync,fp16;blocks=36;matmul=4096,1,30,stage_copy,0.020631700
sync,fp16;blocks=36;matmul=4096,1,31,stage_copy,0.020767300
sync,fp16;blocks=36;matmul=4096,1,32,stage_copy,0.020957300
sync,fp16;blocks=36;matmul=4096,1,33,stage_copy,0.020054900
sync,fp16;blocks=36;matmul=4096,1,34,stage_copy,0.020694100
sync,fp16;blocks=36;matmul=4096,1,35,stage_copy,0.021265700
sync,fp16;blocks=36;matmul=4096,1,0,h2d,0.014965664
sync,fp16;blocks=36;matmul=4096,1,1,h2d,0.015061344
sync,fp16;blocks=36;matmul=4096,1,2,h2d,0.015291392
sync,fp16;blocks=36;matmul=4096,1,3,h2d,0.015216512
sync,fp16;blocks=36;matmul=4096,1,4,h2d,0.015090784
sync,fp16;blocks=36;matmul=4096,1,5,h2d,0.014955200
sync,fp16;blocks=36;matmul=4096,1,6,h2d,0.015048992
sync,fp16;blocks=36;matmul=4096,1,7,h2d,0.014983808
sync,fp16;blocks=36;matmul=4096,1,8,h2d,0.014938176
sync,fp16;blocks=36;matmul=4096,1,9,h2d,0.014966720
sync,fp16;blocks=36;matmul=4096,1,10,h2d,0.014958592
sync,fp16;blocks=36;matmul=4096,1,11,h2d,0.015104576
sync,fp16;blocks=36;matmul=4096,1,12,h2d,0.015540608
sync,fp16;blocks=36;matmul=4096,1,13,h2d,0.017337440
sync,fp16;blocks=36;matmul=4096,1,14,h2d,0.017448608
sync,fp16;blocks=36;matmul=4096,1,15,h2d,0.017308128
sync,fp16;blocks=36;matmul=4096,1,16,h2d,0.017325504
sync,fp16;blocks=36;matmul=4096,1,17,h2d,0.017393185
sync,fp16;blocks=36;matmul=4096,1,18,h2d,0.017272448
sync,fp16;blocks=36;matmul=4096,1,19,h2d,0.017341824
sync,fp16;blocks=36;matmul=4096,1,20,h2d,0.017279776
sync,fp16;blocks=36;matmul=4096,1,21,h2d,0.017272448
sync,fp16;blocks=36;matmul=4096,1,22,h2d,0.017393696
sync,fp16;blocks=36;matmul=4096,1,23,h2d,0.017261215
sync,fp16;blocks=36;matmul=4096,1,24,h2d,0.017406303
sync,fp16;blocks=36;matmul=4096,1,25,h2d,0.017338783
sync,fp16;blocks=36;matmul=4096,1,26,h2d,0.017327936
sync,fp16;blocks=36;matmul=4096,1,27,h2d,0.017301632
sync,fp16;blocks=36;matmul=4096,1,28,h2d,0.017379776
sync,fp16;blocks=36;matmul=4096,1,29,h2d,0.017433344
sync,fp16;blocks=36;matmul=4096,1,30,h2d,0.017318657
sync,fp16;blocks=36;matmul=4096,1,31,h2d,0.057819233
sync,fp16;blocks=36;matmul=4096,1,32,h2d,0.014962592
sync,fp16;blocks=36;matmul=4096,1,33,h2d,0.014929184
sync,fp16;blocks=36;matmul=4096,1,34,h2d,0.014930976
sync,fp16;blocks=36;matmul=4096,1,35,h2d,0.014945792
sync,fp16;blocks=36;matmul=4096,1,0,compute,0.098938240
sync,fp16;blocks=36;matmul=4096,1,1,compute,0.018637217
sync,fp16;blocks=36;matmul=4096,1,2,compute,0.016756639
sync,fp16;blocks=36;matmul=4096,1,3,compute,0.018598848
sync,fp16;blocks=36;matmul=4096,1,4,compute,0.017758593
sync,fp16;blocks=36;matmul=4096,1,5,compute,0.017472351
sync,fp16;blocks=36;matmul=4096,1,6,compute,0.016543200
sync,fp16;blocks=36;matmul=4096,1,7,compute,0.018319904
sync,fp16;blocks=36;matmul=4096,1,8,compute,0.017656096
sync,fp16;blocks=36;matmul=4096,1,9,compute,0.018576736
sync,fp16;blocks=36;matmul=4096,1,10,compute,0.017631489
sync,fp16;blocks=36;matmul=4096,1,11,compute,0.033786465
sync,fp16;blocks=36;matmul=4096,1,12,compute,0.035223518
sync,fp16;blocks=36;matmul=4096,1,13,compute,0.035574112
sync,fp16;blocks=36;matmul=4096,1,14,compute,0.034962399
sync,fp16;blocks=36;matmul=4096,1,15,compute,0.038027840
sync,fp16;blocks=36;matmul=4096,1,16,compute,0.039595905
sync,fp16;blocks=36;matmul=4096,1,17,compute,0.041652962
sync,fp16;blocks=36;matmul=4096,1,18,compute,0.043473793
sync,fp16;blocks=36;matmul=4096,1,19,compute,0.044099007
sync,fp16;blocks=36;matmul=4096,1,20,compute,0.042691551
sync,fp16;blocks=36;matmul=4096,1,21,compute,0.044686657
sync,fp16;blocks=36;matmul=4096,1,22,compute,0.041862465
sync,fp16;blocks=36;matmul=4096,1,23,compute,0.042492607
sync,fp16;blocks=36;matmul=4096,1,24,compute,0.045395359
sync,fp16;blocks=36;matmul=4096,1,25,compute,0.044766209
sync,fp16;blocks=36;matmul=4096,1,26,compute,0.039581440
sync,fp16;blocks=36;matmul=4096,1,27,compute,0.041951454
sync,fp16;blocks=36;matmul=4096,1,28,compute,0.042925983
sync,fp16;blocks=36;matmul=4096,1,29,compute,0.044236961
sync,fp16;blocks=36;matmul=4096,1,30,compute,0.044627296
sync,fp16;blocks=36;matmul=4096,1,31,compute,0.258845673
sync,fp16;blocks=36;matmul=4096,1,32,compute,0.018682367
sync,fp16;blocks=36;matmul=4096,1,33,compute,0.017671520
sync,fp16;blocks=36;matmul=4096,1,34,compute,0.017859009
sync,fp16;blocks=36;matmul=4096,1,35,compute,0.033841408
sync,fp16;blocks=36;matmul=4096,2,0,read,0.418479700
sync,fp16;blocks=36;matmul=4096,2,1,read,0.588083000
sync,fp16;blocks=36;matmul=4096,2,2,read,0.268944000
sync,fp16;blocks=36;matmul=4096,2,3,read,0.563244700
sync,fp16;blocks=36;matmul=4096,2,4,read,0.143258700
sync,fp16;blocks=36;matmul=4096,2,5,read,0.601644900
sync,fp16;blocks=36;matmul=4096,2,6,read,0.256411700
sync,fp16;blocks=36;matmul=4096,2,7,read,0.559753100
sync,fp16;blocks=36;matmul=4096,2,8,read,0.149901000
sync,fp16;blocks=36;matmul=4096,2,9,read,0.606638500
sync,fp16;blocks=36;matmul=4096,2,10,read,0.262121500
sync,fp16;blocks=36;matmul=4096,2,11,read,0.566612200
sync,fp16;blocks=36;matmul=4096,2,12,read,0.271177200
sync,fp16;blocks=36;matmul=4096,2,13,read,0.640126500
sync,fp16;blocks=36;matmul=4096,2,14,read,0.263683200
sync,fp16;blocks=36;matmul=4096,2,15,read,0.574465800
sync,fp16;blocks=36;matmul=4096,2,16,read,0.502611500
sync,fp16;blocks=36;matmul=4096,2,17,read,0.621199800
sync,fp16;blocks=36;matmul=4096,2,18,read,0.258643700
sync,fp16;blocks=36;matmul=4096,2,19,read,0.600481000
sync,fp16;blocks=36;matmul=4096,2,20,read,0.148426300
sync,fp16;blocks=36;matmul=4096,2,21,read,0.611853700
sync,fp16;blocks=36;matmul=4096,2,22,read,0.263295000
sync,fp16;blocks=36;matmul=4096,2,23,read,0.576626500
sync,fp16;blocks=36;matmul=4096,2,24,read,0.146540700
sync,fp16;blocks=36;matmul=4096,2,25,read,0.611251700
sync,fp16;blocks=36;matmul=4096,2,26,read,0.266587800
sync,fp16;blocks=36;matmul=4096,2,27,read,0.580933500
sync,fp16;blocks=36;matmul=4096,2,28,read,0.526148400
sync,fp16;blocks=36;matmul=4096,2,29,read,0.400171100
sync,fp16;blocks=36;matmul=4096,2,30,read,0.503289400
sync,fp16;blocks=36;matmul=4096,2,31,read,0.583188100
sync,fp16;blocks=36;matmul=4096,2,32,read,0.468767200
sync,fp16;blocks=36;matmul=4096,2,33,read,0.516671900
sync,fp16;blocks=36;matmul=4096,2,34,read,0.439233900
sync,fp16;blocks=36;matmul=4096,2,35,read,0.351404800
sync,fp16;blocks=36;matmul=4096,2,0,stage_copy,0.020791300
sync,fp16;blocks=36;matmul=4096,2,1,stage_copy,0.021086600
sync,fp16;blocks=36;matmul=4096,2,2,stage_copy,0.021616800
sync,fp16;blocks=36;matmul=4096,2,3,stage_copy,0.021120900
sync,fp16;blocks=36;matmul=4096,2,4,stage_copy,0.020793500
sync,fp16;blocks=36;matmul=4096,2,5,stage_copy,0.024487500
sync,fp16;blocks=36;matmul=4096,2,6,stage_copy,0.021163800
sync,fp16;blocks=36;matmul=4096,2,7,stage_copy,0.023878500
sync,fp16;blocks=36;matmul=4096,2,8,stage_copy,0.021370000
sync,fp16;blocks=36;matmul=4096,2,9,stage_copy,0.020752200
sync,fp16;blocks=36;matmul=4096,2,10,stage_copy,0.020957700
sync,fp16;blocks=36;matmul=4096,2,11,stage_copy,0.020415500
sync,fp16;blocks=36;matmul=4096,2,12,stage_copy,0.021070100
sync,fp16;blocks=36;matmul=4096,2,13,stage_copy,0.021674400
sync,fp16;blocks=36;matmul=4096,2,14,stage_copy,0.020854500
sync,fp16;blocks=36;matmul=4096,2,15,stage_copy,0.021872000
sync,fp16;blocks=36;matmul=4096,2,16,stage_copy,0.023050400
sync,fp16;blocks=36;matmul=4096,2,17,stage_copy,0.021257800
sync,fp16;blocks=36;matmul=4096,2,18,stage_copy,0.021998000
sync,fp16;blocks=36;matmul=4096,2,19,stage_copy,0.025529600
sync,fp16;blocks=36;matmul=4096,2,20,stage_copy,0.021038700
sync,fp16;blocks=36;matmul=4096,2,21,stage_copy,0.020937600
sync,fp16;blocks=36;matmul=4096,2,22,stage_copy,0.022245400
sync,fp16;blocks=36;matmul=4096,2,23,stage_copy,0.021992000
sync,fp16;blocks=36;matmul=4096,2,24,stage_copy,0.022609800
sync,fp16;blocks=36;matmul=4096,2,25,stage_copy,0.021866600
sync,fp16;blocks=36;matmul=4096,2,26,stage_copy,0.020873400
sync,fp16;blocks=36;matmul=4096,2,27,stage_copy,0.022232600
sync,fp16;blocks=36;matmul=4096,2,28,stage_copy,0.021327700
sync,fp16;blocks=36;matmul=4096,2,29,stage_copy,0.020810500
sync,fp16;blocks=36;matmul=4096,2,30,stage_copy,0.021266400
sync,fp16;blocks=36;matmul=4096,2,31,stage_copy,0.021025800
sync,fp16;blocks=36;matmul=4096,2,32,stage_copy,0.020946800
sync,fp16;blocks=36;matmul=4096,2,33,stage_copy,0.022473300
sync,fp16;blocks=36;matmul=4096,2,34,stage_copy,0.023418400
sync,fp16;blocks=36;matmul=4096,2,35,stage_copy,0.021918700
sync,fp16;blocks=36;matmul=4096,2,0,h2d,0.016681889
sync,fp16;blocks=36;matmul=4096,2,1,h2d,0.017287296
sync,fp16;blocks=36;matmul=4096,2,2,h2d,0.017335520
sync,fp16;blocks=36;matmul=4096,2,3,h2d,0.017333536
sync,fp16;blocks=36;matmul=4096,2,4,h2d,0.017510401
sync,fp16;blocks=36;matmul=4096,2,5,h2d,0.017327393
sync,fp16;blocks=36;matmul=4096,2,6,h2d,0.017253759
sync,fp16;blocks=36;matmul=4096,2,7,h2d,0.017532160
sync,fp16;blocks=36;matmul=4096,2,8,h2d,0.017250656
sync,fp16;blocks=36;matmul=4096,2,9,h2d,0.017384577
sync,fp16;blocks=36;matmul=4096,2,10,h2d,0.017336609
sync,fp16;blocks=36;matmul=4096,2,11,h2d,0.017313087
sync,fp16;blocks=36;matmul=4096,2,12,h2d,0.017286848
sync,fp16;blocks=36;matmul=4096,2,13,h2d,0.017792671
sync,fp16;blocks=36;matmul=4096,2,14,h2d,0.017416576
sync,fp16;blocks=36;matmul=4096,2,15,h2d,0.017357023
sync,fp16;blocks=36;matmul=4096,2,16,h2d,0.017319456
sync,fp16;blocks=36;matmul=4096,2,17,h2d,0.017321632
sync,fp16;blocks=36;matmul=4096,2,18,h2d,0.057729568
sync,fp16;blocks=36;matmul=4096,2,19,h2d,0.014965216
sync,fp16;blocks=36;matmul=4096,2,20,h2d,0.014915808
sync,fp16;blocks=36;matmul=4096,2,21,h2d,0.014945024
sync,fp16;blocks=36;matmul=4096,2,22,h2d,0.014904896
sync,fp16;blocks=36;matmul=4096,2,23,h2d,0.016530016
sync,fp16;blocks=36;matmul=4096,2,24,h2d,0.016767008
sync,fp16;blocks=36;matmul=4096,2,25,h2d,0.017342785
sync,fp16;blocks=36;matmul=4096,2,26,h2d,0.017328159
sync,fp16;blocks=36;matmul=4096,2,27,h2d,0.017423201
sync,fp16;blocks=36;matmul=4096,2,28,h2d,0.017328608
sync,fp16;blocks=36;matmul=4096,2,29,h2d,0.017298113
sync,fp16;blocks=36;matmul=4096,2,30,h2d,0.017278015
sync,fp16;blocks=36;matmul=4096,2,31,h2d,0.017496193
sync,fp16;blocks=36;matmul=4096,2,32,h2d,0.017313343
sync,fp16;blocks=36;matmul=4096,2,33,h2d,0.017329121
sync,fp16;blocks=36;matmul=4096,2,34,h2d,0.058158146
sync,fp16;blocks=36;matmul=4096,2,35,h2d,0.014885632
sync,fp16;blocks=36;matmul=4096,2,0,compute,0.035151295
sync,fp16;blocks=36;matmul=4096,2,1,compute,0.036598305
sync,fp16;blocks=36;matmul=4096,2,2,compute,0.036810944
sync,fp16;blocks=36;matmul=4096,2,3,compute,0.037899361
sync,fp16;blocks=36;matmul=4096,2,4,compute,0.037946304
sync,fp16;blocks=36;matmul=4096,2,5,compute,0.042332382
sync,fp16;blocks=36;matmul=4096,2,6,compute,0.041218048
sync,fp16;blocks=36;matmul=4096,2,7,compute,0.043879490
sync,fp16;blocks=36;matmul=4096,2,8,compute,0.045426304
sync,fp16;blocks=36;matmul=4096,2,9,compute,0.040891521
sync,fp16;blocks=36;matmul=4096,2,10,compute,0.042919487
sync,fp16;blocks=36;matmul=4096,2,11,compute,0.041877728
sync,fp16;blocks=36;matmul=4096,2,12,compute,0.044545376
sync,fp16;blocks=36;matmul=4096,2,13,compute,0.045675522
sync,fp16;blocks=36;matmul=4096,2,14,compute,0.042987679
sync,fp16;blocks=36;matmul=4096,2,15,compute,0.045670815
sync,fp16;blocks=36;matmul=4096,2,16,compute,0.047544384
sync,fp16;blocks=36;matmul=4096,2,17,compute,0.050789886
sync,fp16;blocks=36;matmul=4096,2,18,compute,0.137767075
sync,fp16;blocks=36;matmul=4096,2,19,compute,0.017546848
sync,fp16;blocks=36;matmul=4096,2,20,compute,0.018549408
sync,fp16;blocks=36;matmul=4096,2,21,compute,0.018701088
sync,fp16;blocks=36;matmul=4096,2,22,compute,0.034404385
sync,fp16;blocks=36;matmul=4096,2,23,compute,0.036153824
