benchmark_id,test,timestamp_utc,repetition,workload,buffer_bytes,chunk_bytes,operations,seconds,value,unit,status,notes
B01,NVMe sequential read bandwidth,2026-08-10T20:46:28.070902+00:00,1,direct_io_sequential,2147483648,16777216,128,0.8501774000033038,2.5259241753446453,GB/s_payload,ok,Windows FILE_FLAG_NO_BUFFERING; payload uses decimal GB/s.
B01,NVMe sequential read bandwidth,2026-08-10T20:46:28.923523+00:00,2,direct_io_sequential,2147483648,16777216,128,0.8525854000035906,2.518790080138548,GB/s_payload,ok,Windows FILE_FLAG_NO_BUFFERING; payload uses decimal GB/s.
B01,NVMe sequential read bandwidth,2026-08-10T20:46:29.761946+00:00,3,direct_io_sequential,2147483648,16777216,128,0.8383937000035075,2.5614262702487096,GB/s_payload,ok,Windows FILE_FLAG_NO_BUFFERING; payload uses decimal GB/s.
B01,NVMe sequential read bandwidth,2026-08-10T20:46:30.621000+00:00,4,direct_io_sequential,2147483648,16777216,128,0.859024599994882,2.4999093716440655,GB/s_payload,ok,Windows FILE_FLAG_NO_BUFFERING; payload uses decimal GB/s.
B01,NVMe sequential read bandwidth,2026-08-10T20:46:31.466266+00:00,5,direct_io_sequential,2147483648,16777216,128,0.8452336000045761,2.5406983915314933,GB/s_payload,ok,Windows FILE_FLAG_NO_BUFFERING; payload uses decimal GB/s.
B02,NVMe random/chunked read behavior,2026-08-10T20:46:36.328250+00:00,1,direct_io_random_4KiB,2147483648,4096,65536,4.845403500003158,0.05540002107148043,GB/s_payload,ok,Deterministic random offsets; Windows FILE_FLAG_NO_BUFFERING.
B02,NVMe random/chunked read behavior,2026-08-10T20:46:41.219287+00:00,2,direct_io_random_4KiB,2147483648,4096,65536,4.874189399997704,0.05507284062456139,GB/s_payload,ok,Deterministic random offsets; Windows FILE_FLAG_NO_BUFFERING.
B02,NVMe random/chunked read behavior,2026-08-10T20:46:46.102370+00:00,3,direct_io_random_4KiB,2147483648,4096,65536,4.866927000010037,0.05515501999504953,GB/s_payload,ok,Deterministic random offsets; Windows FILE_FLAG_NO_BUFFERING.
B02,NVMe random/chunked read behavior,2026-08-10T20:46:50.964799+00:00,4,direct_io_random_4KiB,2147483648,4096,65536,4.846175400001812,0.055391196942624,GB/s_payload,ok,Deterministic random offsets; Windows FILE_FLAG_NO_BUFFERING.
B02,NVMe random/chunked read behavior,2026-08-10T20:46:55.897823+00:00,5,direct_io_random_4KiB,2147483648,4096,65536,4.916576000003261,0.05459804872330296,GB/s_payload,ok,Deterministic random offsets; Windows FILE_FLAG_NO_BUFFERING.
