benchmark_id,test,timestamp_utc,repetition,workload,buffer_bytes,chunk_bytes,operations,seconds,value,unit,status,notes
B01,NVMe sequential read bandwidth,2026-08-13T22:06:48.561043+00:00,median,direct_io_sequential,2147483648,16777216,128,0.8501774000033038,2.5259241753446453,GB/s_payload,ok,n=5; min=2.49991; max=2.56143; stdev=0.0231715
B02,NVMe random/chunked read behavior,2026-08-13T22:06:48.561184+00:00,median,direct_io_random_1024KiB,2147483648,1048576,256,0.13492920000862796,1.989454143230932,GB/s_payload,ok,n=5; min=1.87575; max=2.0984; stdev=0.10136
B02,NVMe random/chunked read behavior,2026-08-13T22:06:48.561236+00:00,median,direct_io_random_16384KiB,2147483648,16777216,16,0.10853400001360569,2.4732844635445965,GB/s_payload,ok,n=5; min=1.91599; max=3.0848; stdev=0.469845
B02,NVMe random/chunked read behavior,2026-08-13T22:06:48.561275+00:00,median,direct_io_random_4KiB,2147483648,4096,65536,4.866927000010037,0.05515501999504953,GB/s_payload,ok,n=5; min=0.054598; max=0.0554; stdev=0.000327026
B02,NVMe random/chunked read behavior,2026-08-13T22:06:48.561317+00:00,median,direct_io_random_64KiB,2147483648,65536,4096,0.5056133000034606,0.5309105911536796,GB/s_payload,ok,n=5; min=0.520737; max=0.536871; stdev=0.00715546
B03,RAM memcpy bandwidth,2026-08-13T22:06:48.561359+00:00,median,numpy.copyto,536870912,536870912,1,0.03018990000418853,17.78312985221928,GB/s_payload,ok,n=7; min=15.5787; max=18.5639; stdev=0.933482
B04,pageable RAM to VRAM bandwidth,2026-08-13T22:06:48.561404+00:00,median,torch_tensor_copy,268435456,268435456,1,0.024185663223266603,11.103774485024601,GB/s_payload,ok,n=10; min=10.4022; max=12.272; stdev=0.613809
B05,pinned RAM to VRAM bandwidth,2026-08-13T22:06:48.561452+00:00,median,torch_tensor_copy,268435456,268435456,1,0.010300271987915038,26.061006967086087,GB/s_payload,ok,n=10; min=25.0692; max=26.1666; stdev=0.322507
B06,VRAM available,2026-08-13T22:06:48.561487+00:00,median,NVIDIA GeForce RTX 3070 Ti,8589410304,,,,6.6923828125,GiB_free,ok,n=1
B06,basic GPU FP16 matrix multiply,2026-08-13T22:06:48.561503+00:00,median,torch.mm_4096x4096,,,1,0.003887439966201782,35.3551212296841,TFLOP/s,ok,n=20; min=27.4138; max=41.8254; stdev=5.44611
B07,RAM read bandwidth,2026-08-13T22:06:48.561564+00:00,median,numpy.sum.f64.mt12,536870912,536870912,1,0.022091900013037957,24.301708394622253,GB/s_payload,ok,n=7; min=22.0706; max=27.5552; stdev=2.01648
B07,RAM read bandwidth,2026-08-13T22:06:48.561610+00:00,median,numpy.sum.f64.mt6,536870912,536870912,1,0.0207689999951981,25.84962743146648,GB/s_payload,ok,n=5; min=22.0168; max=27.8376; stdev=2.67579
B07,RAM read bandwidth,2026-08-13T22:06:48.561650+00:00,median,numpy.sum.f64.st,536870912,536870912,1,0.07316629999695579,7.338035909642367,GB/s_payload,ok,n=12; min=6.15809; max=8.31376; stdev=0.617397
B07,RAM read bandwidth,2026-08-13T22:06:48.561694+00:00,median,numpy.sum.mt12,536870912,536870912,1,0.04873110000335146,11.01700786485585,GB/s_payload,ok,n=7; min=7.9286; max=11.402; stdev=1.21838
B07,RAM read bandwidth,2026-08-13T22:06:48.561738+00:00,median,numpy.sum.st,536870912,536870912,1,0.22053639999649022,2.434386849556555,GB/s_payload,ok,n=7; min=2.38431; max=2.48228; stdev=0.0350249
OVR,double_buffer VRAM allocated,2026-08-13T22:06:48.561779+00:00,median,fp16,,,,,790757888.0,bytes,ok,n=1
